id,host_neighbourhood,zipcode,property_type,neighbourhood_group_cleansed,review_scores_rating
11826680,Crown Hill,98117,Apartment,Other neighborhoods,98
11829208,Minor,98122,House,Central Area,98
11845640,East Village,98101,Condominium,Downtown,98
11846910,East Village,98101,Condominium,Downtown,82
11847035,East Village,98101,Condominium,Downtown,98
11867748,North Beacon Hill,98144,Apartment,Beacon Hill,97
11879208,Genesee,98116,House,West Seattle,93
11890234,First Hill,98121,Condominium,Downtown,
11892077,Alki,98116,Condominium,West Seattle,92
11907396,Alki,98116,House,West Seattle,100
11911218,Fremont,98107,House,Other neighborhoods,90
11912351,Minor,98122,House,Central Area,98
11913478,Belltown,98122,Apartment,Central Area,93
11921574,,,Townhouse,Queen Anne,93
11929388,Wallingford,98103,Apartment,Other neighborhoods,
11929431,,98121,Apartment,Downtown,94
11944943,Wedgewood,98115,Guesthouse,Other neighborhoods,96
11950209,Minor,98122,Apartment,Central Area,90
11962894,,98144,House,Beacon Hill,100
11972353,Belltown,98121,Apartment,Downtown,98
11972509,University District,98105,Apartment,University District,86
11973117,Capitol Hill,98102,Aparthotel,Capitol Hill,91
11973794,Kingsbury,98101,Condominium,Downtown,99
11974887,University District,98105,Apartment,Other neighborhoods,92
11977745,First Hill,98104,Apartment,Downtown,97
11984257,University District,98105,House,University District,100
11986676,Capitol Hill,98102,Aparthotel,Capitol Hill,96
11991764,Capitol Hill,98122,Apartment,Capitol Hill,97
12002753,Capitol Hill,98102,Aparthotel,Capitol Hill,100
12002953,Belltown,98101,Apartment,Downtown,98
12003061,Capitol Hill,98102,Aparthotel,Capitol Hill,99
12006031,Wallingford,98103,House,Other neighborhoods,96
12007009,Belltown,98101,Apartment,Downtown,99
12007028,Belltown,98101,Apartment,Downtown,99
12011079,Capitol Hill,98102,Apartment,Capitol Hill,98
12019464,Queen Anne,98109,Apartment,Queen Anne,93
12028522,Green Lake,98103,Guest suite,Other neighborhoods,89
12041382,Rainier View,98178,House,Rainier Valley,95
12042411,Queen Anne,98109,Apartment,Queen Anne,97
12056343,Windermere,98105,House,Other neighborhoods,95
12056372,Alki,98116,House,West Seattle,98
12064196,,98126,Guest suite,West Seattle,99
12069871,Broadview,98133,House,Other neighborhoods,100
12095197,Wallingford,98103,House,Other neighborhoods,98
12111798,First Hill,98101,Condominium,Downtown,96
12133747,Wallingford,98103,Apartment,Other neighborhoods,100
12138614,Central Business District,98121,Loft,Downtown,94
12144296,Leschi,98144,House,Central Area,
12147772,Eastlake,98102,Townhouse,Capitol Hill,98
12153406,Lower Queen Anne,98122,Serviced apartment,Central Area,94
12154470,Capitol Hill,98102,Aparthotel,Capitol Hill,97
12157169,Lower Queen Anne,98122,Serviced apartment,Central Area,97
12157424,Lower Queen Anne,98122,Serviced apartment,Central Area,100
12158086,Greenwood,98133,Apartment,Other neighborhoods,97
12158587,High Point,98126,House,Delridge,98
12159498,High Point,98126,House,Delridge,97
12170734,Queen Anne,98109,House,Queen Anne,96
12185450,Capitol Hill,98102,Apartment,Capitol Hill,95
12191280,Columbia City,98118,Guesthouse,Rainier Valley,93
12192162,Arbor Heights,98146,House,West Seattle,99
12208188,Columbia City,98108,Guest suite,Rainier Valley,93
12208402,North Beacon Hill,98144,Townhouse,Beacon Hill,96
12209387,,98121,Condominium,Downtown,
12209894,University District,98105,Loft,University District,90
12210720,Greenwood,98103,House,Other neighborhoods,96
12212589,,98122,House,Central Area,95
12213515,Capitol Hill,98122,Apartment,Downtown,100
12223760,Capitol Hill,98102,Aparthotel,Capitol Hill,91
12224432,Montlake,98112,Apartment,Capitol Hill,98
12233882,Haller Lake,98125,House,Northgate,96
12234015,Lower Queen Anne,98109,Condominium,Queen Anne,96
12234088,Wedgewood,98115,Guest suite,Other neighborhoods,96
12235296,Olympic Hills,,House,Lake City,92
12246399,Fremont,98103,Apartment,Other neighborhoods,91
12254134,North Beacon Hill,98144,House,Beacon Hill,95
12255597,Phinney Ridge,98119,Townhouse,Queen Anne,90
12265836,Seward Park,98118,Apartment,Seward Park,95
12272813,Green Lake,98103,House,Other neighborhoods,99
12291865,Yesler Terrace,98122,Apartment,Downtown,98
12294755,Minor,98107,Bungalow,Ballard,98
12322489,Fremont,98103,Condominium,Other neighborhoods,98
12323461,Green Lake,98103,House,Other neighborhoods,98
12324854,Fremont,98103,Apartment,Other neighborhoods,
12325931,Central Business District,98121,Condominium,Downtown,92
12343805,Wedgewood,98115,Loft,Other neighborhoods,97
12344306,Central Business District,98121,Apartment,Downtown,98
12355870,Minor,98122,House,Central Area,100
12359179,Alki,98116,House,West Seattle,96
12360792,Capitol Hill,98122,Condominium,Capitol Hill,94
12361223,Belltown,98101,Apartment,Downtown,100
12361758,Fremont,98107,Bungalow,Other neighborhoods,98
12361783,Belltown,98101,Apartment,Downtown,94
12365809,University District,98105,Guesthouse,University District,93
12370400,Queen Anne,98119,Apartment,Queen Anne,95
12378099,University District,98109,House,Queen Anne,94
12378237,University District,98109,House,Queen Anne,91
12378345,University District,98109,House,Queen Anne,89
12379796,Wallingford,98103,Apartment,Other neighborhoods,99
12384947,Cedar Park,98125,House,Lake City,98
12386092,,98125,Townhouse,Northgate,
12387993,North Admiral,98116,House,West Seattle,92
12412642,Capitol Hill,98112,Apartment,Capitol Hill,96
12423091,Phinney Ridge,98103,House,Other neighborhoods,98
12426021,Ballard,98107,Townhouse,Ballard,94
12426069,Wallingford,98103,Guesthouse,Other neighborhoods,96
12431572,Capitol Hill,98102,Apartment,Capitol Hill,95
12449616,Mount Baker,98144,House,Rainier Valley,96
12456183,,,Guest suite,Lake City,90
12469723,Phinney Ridge,98103,House,Other neighborhoods,90
12474364,Pinehurst,98125,House,Northgate,92
12495116,Wallingford,98103,Apartment,Other neighborhoods,96
12495817,Central Business District,98122,Apartment,Capitol Hill,98
12495915,Central Business District,98122,Serviced apartment,Downtown,100
12496064,Central Business District,98122,Apartment,Capitol Hill,97
12497002,Magnolia,98199,House,Magnolia,92
12497708,Ballard,98107,Apartment,Ballard,98
12510231,Minor,98112,Guest suite,Central Area,96
12518952,,98103,Guest suite,Other neighborhoods,93
12537842,Queen Anne,98109,House,Queen Anne,98
12540452,Columbia City,98118,Guesthouse,Rainier Valley,92
12548241,Green Lake,98115,House,Other neighborhoods,84
12563525,Wallingford,98103,House,Other neighborhoods,96
12564417,Minor,98122,Townhouse,Central Area,95
12566321,Alki,98116,Guesthouse,West Seattle,
12568656,,98109,Houseboat,Cascade,96
12569638,,98109,Houseboat,Cascade,95
12571643,Fremont,98103,Townhouse,Other neighborhoods,80
12572643,Atlantic,98144,House,Central Area,100
12573882,Ravenna,98115,Guest suite,Other neighborhoods,100
12584274,Genesee,98116,Guest suite,West Seattle,96
12601662,Fremont,98107,House,Other neighborhoods,93
12605930,,,Guesthouse,West Seattle,100
12607679,Wallingford,98103,House,Other neighborhoods,97
12609601,Maple Leaf,98115,Guest suite,Northgate,98
12612702,Licton Springs,98103,Townhouse,Northgate,100
12623261,Capitol Hill,98122,Apartment,Capitol Hill,94
12625278,Stevens,98112,House,Capitol Hill,92
12649999,Capitol Hill,98102,Apartment,Capitol Hill,92
12655387,Capitol Hill,98122,Apartment,Capitol Hill,87
12659037,Capitol Hill,98052,Camper/RV,Capitol Hill,
12672933,,,House,Central Area,93
12682209,,98104,Apartment,Downtown,
12685905,Fremont,98103,Townhouse,Other neighborhoods,99
12686291,Highland Park,98106,House,Delridge,99
12704096,Minor,98122,House,Central Area,98
12708859,Seward Park,98118,Tiny house,Seward Park,96
12713047,Wallingford,98105,House,Other neighborhoods,100
12730043,Meadowbrook,98125,House,Lake City,98
12737616,Capitol Hill,98102,Apartment,Capitol Hill,98
12740637,East Village,98101,Condominium,Downtown,94
12749302,Minor,98122,House,Central Area,92
12753146,Ballard,98107,Townhouse,Ballard,90
12756590,Stevens,98122,Apartment,Capitol Hill,98
